sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor
76.137.164.160,16.208.98.219,53,48489,17,1,306,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,246.178.252.146,5813,80,6,5,1112,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
84.87.155.35,16.208.98.219,80,36960,6,7,1091,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
133.123.192.69,16.208.98.219,53,31372,17,1,200,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.78,102.224.144.102,443,5082,6,1,74,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,25.38.183.102,57923,53,17,1,91,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
121.179.23.25,16.208.98.219,443,25104,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
246.178.252.146,16.208.98.219,80,5813,6,3,716,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
204.121.109.3,16.208.98.219,53,59675,17,1,146,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,204.121.109.3,37197,53,17,1,83,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
19.164.2.95,16.208.98.219,443,4175,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,19.164.2.95,4175,443,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,190.82.62.224,40202,443,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
38.123.247.103,16.208.98.219,443,33430,6,4,409,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,84.87.155.35,6132,80,6,19,2730,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.78,179.103.72.122,443,58342,6,2,2942,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
19.164.2.183,16.208.98.219,443,1573,6,1,111,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,19.164.2.183,1573,443,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
156.71.151.128,16.208.98.78,32357,443,6,3,587,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
84.87.155.35,16.208.98.219,80,6132,6,8,4842,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,10.38.98.245,48902,80,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,10.214.192.255,46859,80,6,9,7129,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
10.38.98.245,16.208.98.219,80,48902,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,65.250.178.173,52083,80,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
102.224.144.102,16.208.98.78,5082,443,6,2,138,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
10.214.192.255,16.208.98.219,80,46859,6,6,830,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,10.165.73.2,20800,80,6,5,1492,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,146.118.52.136,62624,80,6,2,1257,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,38.123.247.103,33430,443,6,8,2066,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
10.165.73.2,16.208.98.219,80,20800,6,5,841,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
244.20.29.96,16.208.98.219,53,22949,17,1,665,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,25.103.27.3,39946,53,17,1,96,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,253.212.243.73,42098,80,6,2,120,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
121.130.131.206,16.208.98.219,80,34481,6,3,436,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,121.130.131.206,34481,80,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.78,156.71.151.128,443,32357,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
253.212.243.73,16.208.98.219,80,42098,6,2,120,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,41.29.110.210,17657,80,6,7,1918,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.61,61.77.192.249,25,9890,6,4,476,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,164.228.181.8,16063,53,17,1,90,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
41.29.110.210,16.208.98.219,80,17657,6,7,2765,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.14.250,39247,53,17,1,100,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
102.212.224.109,16.208.98.78,3508,443,6,2,126,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.14.250,16.208.98.219,53,39247,17,1,365,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,96.40.128.218,48365,80,6,7,2788,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
248.60.221.165,16.208.98.219,80,8728,6,1,60,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,248.60.221.165,8728,80,6,2,120,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
171.58.213.129,16.208.98.219,80,45555,6,13,15434,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,171.58.213.129,45555,80,6,15,1529,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
146.118.52.136,16.208.98.219,80,62624,6,3,546,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,86.248.160.73,52374,53,17,1,87,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
25.103.27.3,16.208.98.219,53,39946,17,1,140,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
86.248.160.73,16.208.98.219,53,52374,17,1,128,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,253.58.86.205,53996,53,17,1,96,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
96.40.128.218,16.208.98.219,80,48365,6,5,640,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,215.234.244.131,40318,80,6,12,5234,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,239.120.72.95,22102,53,17,1,82,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
86.3.20.202,16.208.98.219,443,48240,6,3,1596,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,86.3.20.202,48240,443,6,5,1023,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
239.120.72.95,16.208.98.219,53,22102,17,1,98,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
215.234.244.131,16.208.98.219,80,40318,6,10,5388,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,25.38.183.28,34898,53,17,1,91,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
61.77.192.249,16.208.98.61,9890,25,6,2,163,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,25.38.183.100,29719,53,17,1,97,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
25.38.183.28,16.208.98.219,53,34898,17,1,253,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
19.164.2.49,16.208.98.219,80,19516,6,6,6208,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,19.164.2.49,19516,80,6,7,1603,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
25.38.183.100,16.208.98.219,53,29719,17,1,199,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,41.29.110.210,62752,80,6,6,2156,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.5.159,7042,53,17,1,87,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,61.201.214.98,47410,53,17,1,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.5.159,16.208.98.219,53,7042,17,1,287,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.164.160,11096,53,17,1,123,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.164.160,16.208.98.219,53,11096,17,1,292,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
41.29.110.210,16.208.98.219,80,62752,6,6,763,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,246.178.252.146,36920,80,6,6,3351,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
19.164.2.49,16.208.98.219,80,61100,6,2,1594,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,19.164.2.49,61100,80,6,6,2986,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,65.250.178.85,28441,53,17,1,89,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
65.250.178.85,16.208.98.219,53,28441,17,1,110,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
164.228.181.8,16.208.98.219,53,16063,17,1,286,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,164.228.181.8,63136,53,17,1,86,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.164.223,25121,53,17,1,100,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
61.201.214.98,16.208.98.219,53,47410,17,1,196,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
246.178.252.146,16.208.98.219,80,36920,6,4,782,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.91.168,14638,53,17,1,111,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.164.223,16.208.98.219,53,25121,17,1,365,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,239.4.22.238,24261,443,6,18,9233,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
253.58.86.205,16.208.98.219,53,53996,17,1,188,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
19.164.2.183,16.208.98.219,443,30580,6,1,66,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,19.164.2.183,30580,443,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,253.58.86.205,41459,53,17,1,98,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.91.168,16.208.98.219,53,14638,17,1,264,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
239.4.22.238,16.208.98.219,443,24261,6,12,8325,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
102.224.67.123,16.208.98.78,8836,443,6,4,295,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
19.164.216.197,16.208.98.219,5222,37199,6,1,60,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
253.244.73.217,16.208.98.219,443,51306,6,5,743,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,65.250.178.85,45300,53,17,1,78,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
65.250.178.85,16.208.98.219,53,45300,17,1,110,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
98.168.147.146,16.208.98.219,443,56425,6,2,163,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,98.168.147.146,56425,443,6,3,186,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
102.224.31.65,16.208.98.78,22934,443,6,16,6047,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,133.123.223.3,9165,53,17,1,85,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.5.235,3460,53,17,1,140,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.5.235,16.208.98.219,53,3460,17,1,309,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
133.123.223.3,16.208.98.219,53,9165,17,1,187,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
147.131.94.92,16.208.98.78,56281,443,6,2,169,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.78,147.131.94.92,443,56281,6,1,60,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.63.224.222,16.208.98.219,443,6657,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.63.224.222,6657,443,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,65.250.178.38,58028,53,17,1,89,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,146.118.124.79,28885,53,17,1,94,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
65.250.178.38,16.208.98.219,53,58028,17,1,129,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,200.27.154.226,44043,53,17,1,111,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.5.235,23883,53,17,1,117,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.5.235,16.208.98.219,53,23883,17,1,382,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
248.48.57.104,16.208.98.219,443,52252,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
146.118.124.79,16.208.98.219,53,28885,17,1,110,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,248.48.57.104,52252,443,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,3.39.65.98,24992,80,6,6,1015,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
200.27.154.226,16.208.98.219,53,44043,17,1,143,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,253.212.243.73,27939,80,6,5,6951,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.5.55,43642,53,17,1,119,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
253.58.86.205,16.208.98.219,53,41459,17,1,136,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.78,102.224.31.65,443,22934,6,11,3845,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.139,61.77.34.42,25,24016,6,4,508,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,133.123.223.69,45391,53,17,1,85,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
3.39.65.98,16.208.98.219,80,24992,6,5,550,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,98.168.50.28,10563,53,17,1,95,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
204.121.109.3,16.208.98.219,53,37197,17,1,167,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,239.120.32.172,51737,53,17,1,79,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
253.212.243.73,16.208.98.219,80,27939,6,5,300,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
239.120.32.172,16.208.98.219,53,51737,17,1,111,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,187.16.226.99,14475,53,17,1,98,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
61.77.34.42,16.208.98.139,24016,25,6,4,326,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
133.123.223.69,16.208.98.219,53,45391,17,1,148,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,76.137.5.235,16269,53,17,1,123,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.139,61.77.34.42,25,34618,6,3,448,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
98.168.50.28,16.208.98.219,53,10563,17,1,139,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
164.228.181.8,16.208.98.219,53,63136,17,1,220,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
76.137.5.235,16.208.98.219,53,16269,17,1,324,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,113.191.13.235,24416,53,17,1,99,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
61.77.34.42,16.208.98.139,34618,25,6,4,326,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
172.16.65.44,16.208.98.219,80,34746,6,8,7165,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,172.16.65.44,34746,80,6,11,1389,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,61.113.87.241,55814,53,17,1,87,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,253.244.73.217,51306,443,6,7,3391,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
187.16.226.99,16.208.98.219,53,14475,17,1,131,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,102.177.101.84,10592,80,6,6,1090,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,239.120.72.95,6924,53,17,1,93,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
239.120.72.95,16.208.98.219,53,6924,17,1,98,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,248.204.233.118,56815,80,6,6,923,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,171.80.25.58,19603,443,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
102.177.101.84,16.208.98.219,80,10592,6,5,690,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,19.164.2.236,59756,443,6,3,198,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,84.87.155.35,23224,80,6,7,4322,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,171.145.56.102,19250,80,6,4,1018,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
171.80.25.58,16.208.98.219,443,19603,6,2,132,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
84.87.155.35,16.208.98.219,80,23224,6,8,1120,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
19.164.2.236,16.208.98.219,443,59756,6,4,374,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
248.48.2.44,16.208.98.219,35093,33442,17,1,60,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
248.204.233.118,16.208.98.219,80,56815,6,4,416,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
253.244.78.25,16.208.98.219,443,14942,6,2,1935,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,253.244.78.25,14942,443,6,3,1017,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,215.234.244.131,63107,80,6,13,5455,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
215.234.244.131,16.208.98.219,80,63107,6,11,5303,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
41.135.67.111,16.208.98.219,80,60615,6,2,1179,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,41.135.67.111,60615,80,6,2,1101,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,25.38.247.123,17233,53,17,1,83,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,133.191.149.243,28001,80,6,11,1759,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
133.191.149.243,16.208.98.219,80,28001,6,9,9053,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,133.99.205.202,38789,53,17,1,97,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
16.208.98.219,253.67.98.32,28456,80,6,5,338,,2016/08/17T14:30:01.000,0.000,2016/08/17T14:30:01.000,0
